name,rarity,color_identity
A Most Helpful Weaver,rare,W
A Trail of Teacups,rare,G
Ademi of the Silkchutes,rare,W
Aggressive Symbiosis,uncommon,B
"Alenni, Brood Recruiter",rare,Multicolor
"Alessos and Pras, Acrobats",uncommon,Multicolor
"Alibou, Ancient Witness",special,Multicolor
Ancestral Carvings,uncommon,G
Angler's Shield,rare,Multicolor
Arachnogenesis,special,G
Arachnomania,mythic,R
"Arala, Hedron Scaler",common,U
Arasta of the Endless Web,special,G
Archangler's Skyrod,uncommon,W
"Argyr, Tidal Spinner",uncommon,U
Bane-Marked Leonin,common,B
"Basil, Cabaretti Loudmouth",uncommon,W
"Bayo, Irritable Instructor",rare,R
Beast Within,special,G
"Belion, the Parched",rare,U
"Borys, the Spider Rider",rare,Multicolor
"Brako, Heartless Hunter",rare,Multicolor
Cactarantula Saddle,uncommon,Colorless
Caldaia Brawlers,common,B
"Cam and Farrik, Havoc Duo",uncommon,R
"Carlo, Suave Schemer",uncommon,Multicolor
Carriage of Dreams,common,U
Cheering Crowd,rare,Multicolor
"Chizak, Apex Arachnosaur",common,G
Chosen by Valgavoth,rare,W
Cirina Bargainspinner,uncommon,Multicolor
City Pigeon,common,W
Clandestine Work,common,B
Clever Impersonator,special,U
Comeuppance,special,W
Common Crook,common,B
Confessor's Bindings,rare,W
Costume Closet,uncommon,W
Counterspell,special,U
"Crash, Reckless Endrider",uncommon,Multicolor
"Cren, Undercity Dreamer",mythic,Multicolor
Crime-Scene Instructor,common,W
Cruel Caracals,common,G
Damning Caress,common,B
"Darval, Whose Web Protects",common,W
Data Scrubber,common,Colorless
Deathflame Burst,common,R
"Demera, Soul of a Spider",rare,Multicolor
"Desecrex, Gift of Servitude",rare,Multicolor
Detect Intrusion,rare,U
Diligent Webkeepers,uncommon,Multicolor
"Dreadfang, Loathed by Fans",uncommon,Multicolor
Drix Interception,common,U
"Druneth, Reviver of the Hive",rare,Multicolor
Duskmourn's Claim,rare,B
Eccentric Arachnologist,common,G
Eerie Gravestone,common,B
Egrix the Bile Bulwark,mythic,B
"Error-9, Viral Node",uncommon,Colorless
Exclusive Nightclub,rare,Multicolor
Eztli of the Thousand Moons,common,W
Fateweaver,rare,G
Favored Fighter,common,G
Fearsome Ridgeline,uncommon,Colorless
Feed the Swarm,special,B
Fire-Brained Scheme,uncommon,R
"Fizik, Etherium Mechanic",rare,Colorless
Freestrider Aces,common,W
