name,rarity,color_identity
"Abigale, Eloquent First-Year",rare,Multicolor
Adept Watershaper,rare,W
"Ajani, Outland Chaperone",mythic,W
Appeal to Eirdu,common,W
Aquitect's Defenses,common,U
Ashling's Command,rare,Multicolor
"Ashling, Rekindled",rare,Multicolor
Assert Perfection,common,G
Auntie's Sentence,common,B
Aurora Awakener,mythic,G
Barbed Bloodletter,common,B
Bark of Doran,uncommon,W
Bile-Vial Boggart,common,B
Bitterbloom Bearer,mythic,B
Bitterblossom,special,B
Blight Rot,common,B
Blighted Blackthorn,common,B
Blood Crypt,rare,Multicolor
Bloodline Bidding,rare,B
Bloom Tender,special,G
Blossombind,common,U
Blossoming Defense,uncommon,G
Boggart Cursecrafter,uncommon,Multicolor
Boggart Mischief,uncommon,B
Boggart Prankster,common,B
Bogslither's Embrace,common,B
Boldwyr Aggressor,uncommon,R
Boneclub Berserker,common,R
Boulder Dash,uncommon,R
Brambleback Brute,common,R
Bre of Clan Stoutarm,rare,Multicolor
Brigid's Command,rare,Multicolor
"Brigid, Clachan's Heart",rare,Multicolor
Bristlebane Battler,rare,G
Bristlebane Outrider,uncommon,G
Burdened Stoneback,uncommon,W
Burning Curiosity,common,R
Catharsis,mythic,Multicolor
Celestial Reunion,mythic,G
Champion of the Clachan,rare,W
Champion of the Path,rare,R
Champion of the Weird,rare,B
Champions of the Perfect,rare,G
Champions of the Shoal,rare,U
Changeling Wayfinder,common,Colorless
Chaos Spewer,common,Multicolor
Chitinous Graspling,common,Multicolor
Chomping Changeling,uncommon,G
Chronicle of Victory,mythic,Colorless
Cinder Strike,common,R
Clachan Festival,uncommon,W
Collective Inferno,rare,R
Creakwood Safewright,uncommon,B
Crib Swap,special,W
Crossroads Watcher,common,G
Curious Colossus,mythic,W
Darkness Descends,uncommon,B
Dawn's Light Archer,common,G
Dawn-Blessed Pennant,uncommon,Colorless
Dawnhand Dissident,rare,B
Dawnhand Eulogist,common,B
Deceit,mythic,Multicolor
Deepchannel Duelist,uncommon,Multicolor
Deepway Navigator,rare,Multicolor
Devoted Druid,special,G
Disruptor of Currents,rare,U
Dolmen Gate,special,Colorless
Door of Destinies,special,Colorless
"Doran, Besieged by Time",rare,Multicolor
Dose of Dawnglow,uncommon,B
Dream Harvest,rare,Multicolor
Dream Seizer,common,B
Dundoolin Weaver,uncommon,G
Eclipsed Boggart,uncommon,Multicolor
Eclipsed Elf,uncommon,Multicolor
Eclipsed Flamekin,uncommon,Multicolor
Eclipsed Kithkin,uncommon,Multicolor
Eclipsed Merrow,uncommon,Multicolor
Eclipsed Realms,uncommon,Colorless
"Eirdu, Carrier of Dawn",mythic,Multicolor
Elder Auntie,common,R
Emptiness,mythic,Multicolor
Encumbered Reejerey,uncommon,W
End-Blaze Epiphany,rare,R
Enraged Flamecaster,common,R
Evershrike's Gift,uncommon,W
Evolving Wilds,common,Colorless
Explosive Prodigy,uncommon,R
Faerie Macabre,special,B
Feed the Flames,common,R
Feisty Spikeling,common,Multicolor
Figure of Fable,rare,Multicolor
Firdoch Core,common,Colorless
Flame-Chain Mauler,common,R
Flamebraider,uncommon,R
Flamekin Gildweaver,common,R
Flaring Cinder,common,Multicolor
Flitterwing Nuisance,rare,U
Flock Impostor,uncommon,W
Foraging Wickermaw,common,Colorless
Formidable Speaker,rare,G
Gallant Fowlknight,common,W
Gangly Stompling,common,Multicolor
Gathering Stone,uncommon,Colorless
Giantfall,uncommon,R
Gilt-Leaf's Embrace,common,G
Glamer Gifter,uncommon,U
Glamermite,common,U
Glen Elendra Guardian,rare,U
Glen Elendra's Answer,mythic,U
Glister Bairn,uncommon,Multicolor
Gloom Ripper,rare,B
Gnarlbark Elm,uncommon,B
Goatnap,uncommon,R
Goblin Chieftain,special,R
Goblin Sharpshooter,special,R
Goldmeadow Nomad,common,W
Goliath Daydreamer,rare,R
Gravelgill Scoundrel,common,U
Graveshifter,uncommon,B
Great Forest Druid,common,G
Gristle Glutton,common,R
Grub's Command,rare,Multicolor
"Grub, Storied Matriarch",rare,Multicolor
Gutsplitter Gang,uncommon,B
Hallowed Fountain,rare,Multicolor
Harmonized Crescendo,rare,U
Heat Shimmer,special,R
Heirloom Auntie,common,B
Helix Pinnacle,special,G
Hexing Squelcher,rare,R
High Perfect Morcant,rare,Multicolor
Hovel Hurler,uncommon,Multicolor
Idyllic Tutor,special,W
Illusion Spinners,uncommon,U
Impolite Entrance,uncommon,R
Iron-Shield Elf,uncommon,B
Keep Out,common,W
Kinbinding,rare,W
Kindle the Inner Flame,uncommon,R
Kinsbaile Aspirant,uncommon,W
Kinsbaile Cavalier,special,W
Kinscaer Sentry,rare,W
"Kirol, Attentive First-Year",rare,Multicolor
Kithkeeper,uncommon,W
Kulrath Mystic,common,U
Kulrath Zealot,common,R
Lasting Tarfire,uncommon,R
Lavaleaper,rare,R
Leaf-Crowned Visionary,special,G
Liminal Hold,common,W
"Lluwen, Imperfect Naturalist",rare,Multicolor
Loch Mare,mythic,U
Lofty Dreams,uncommon,U
Luminollusk,uncommon,G
Lys Alana Dignitary,uncommon,G
Lys Alana Informant,common,G
Manamorphose,special,Multicolor
"Maralen, Fae Ascendant",rare,Multicolor
Meanders Guide,uncommon,W
Meek Attack,mythic,R
Merrow Skyswimmer,common,Multicolor
Midnight Tilling,common,G
Mirrorform,mythic,U
Mirrormind Crown,rare,Colorless
Mischievous Sneakling,common,Multicolor
Mistbind Clique,special,U
Mistmeadow Council,common,G
Moon-Vigil Adherents,uncommon,G
Moonglove Extractor,common,B
Moonlit Lamenter,uncommon,W
Moonshadow,mythic,B
Morcant's Eyes,uncommon,G
Morcant's Loyalist,uncommon,Multicolor
Morningtide's Light,mythic,W
Mornsong Aria,rare,B
Mudbutton Cursetosser,uncommon,B
Mutable Explorer,rare,G
Nameless Inversion,special,B
Nightmare Sower,uncommon,B
Noggle Robber,uncommon,Multicolor
Noggle the Mind,uncommon,U
"Oko, Lorwyn Liege",mythic,Multicolor
Omni-Changeling,uncommon,U
Overgrown Tomb,rare,Multicolor
Painter's Servant,special,Colorless
Perfect Intimidation,uncommon,B
Personify,uncommon,W
Pestered Wellguard,uncommon,U
Pitiless Fists,uncommon,G
Prideful Feastling,common,Multicolor
Prismabasher,uncommon,G
Prismatic Undercurrents,uncommon,G
Protective Response,uncommon,W
Puca's Eye,uncommon,Colorless
Pummeler for Hire,uncommon,G
Pyrrhic Strike,uncommon,W
Raiding Schemes,rare,Multicolor
Reaping Willow,uncommon,Multicolor
Reckless Ransacking,common,R
Regal Force,special,G
Reluctant Dounguard,common,W
Requiting Hex,uncommon,B
Retched Wretch,uncommon,B
"Rhys, the Evermore",rare,W
Rime Chill,uncommon,U
Rimefire Torque,rare,U
Rimekin Recluse,uncommon,U
Risen Reef,special,Multicolor
Riverguard's Reflexes,common,W
Rooftop Percher,common,Colorless
Run Away Together,common,U
Safewright Cavalry,common,G
"Sanar, Innovative First-Year",rare,Multicolor
Sapling Nursery,rare,G
Scarblade Scout,common,B
Scarblade's Malice,common,B
Scuzzback Scrounger,rare,R
Sear,uncommon,R
